case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0030,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9692491277369509,0.7356136590818393,0.9686099383589266,597403,29632167,22963,14944
s0031,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9988174301893539,nan,0.9531595420897365,22611216,559562,15274,38268
s0031,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.9182694525160279,0.7040687798621157,0.9181934313866187,19909,23200867,3238,306
s0031,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9356527504335769,0.6533982368085023,0.9353093954618815,115722,23092681,15114,803
s0031,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9612730074392563,0.696683305667713,0.960523479344658,423894,22766271,19953,14202
s0032,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9916459418005733,nan,0.6201956480341911,10231723,145540,142793,29600
s0032,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.0,0.0,-8.98098513699359e-06,0,10549216,386,54
s0032,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.7843137254901961,0.560759252649954,0.7842338928412493,3120,10544820,1403,313
s0032,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.6245800161291386,0.17728788546263854,0.6168401112251892,142116,10236695,28115,142730
s0034,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9970654922138684,nan,0.7078689112704463,26499039,191492,5927,150054
s0034,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8315098468271335,0.5121775609984416,0.8313900318041333,16150,26823817,5862,683
s0034,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.540550803096301,0.40278660545351375,0.5392997468098981,49825,26711988,84496,203
s0034,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.7933027415437136,0.5156636375669786,0.7921167973902821,125251,26655992,59962,5307
s0037,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9805789536951183,nan,0.41347775411295595,13170127,198139,148213,373474
s0037,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.09264145411902668,0.10717817915653574,0.09253825951903917,158,13886700,1084,2011
s0037,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.14554160267413496,0.11408372906222754,0.1452037125088337,1611,13869426,1600,17316
s0037,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.43919651821572003,0.08155424764715909,0.4219926485377285,195973,13193510,371187,129283
s0038,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9977170850470065,nan,0.9237633432927286,18563998,531848,13178,71776
s0038,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.7694794556456017,0.43173610584298394,0.7692052945524274,17613,19152634,6824,3729
s0038,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9372546489525899,0.7402934617099602,0.9369245966706373,94427,19073730,12524,119
s0038,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9314446611506434,0.6579224961548527,0.9297989332654133,419790,18699216,52446,9348
s0039,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9982830176678003,nan,0.9708619427655194,7572668,461955,9361,16688
s0039,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.9102172907998151,0.728543620899165,0.9100969257055577,9844,8048886,1471,471
s0039,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9533316230146699,0.8352583340948425,0.9530825141999126,40876,8015794,3839,163
s0039,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9760626650446548,0.7752750456064603,0.9747426117516417,411203,7629300,11410,8759
s0040,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9987494306144716,nan,0.9164991139524955,35072888,489981,9584,78248
s0040,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8663709769134539,0.5525741529048152,0.866273062746501,22854,35620797,6222,828
s0040,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9444944918422742,0.7785016448579805,0.9443623232342399,80206,35561068,9137,290
s0040,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9152801062947454,0.5891236801491119,0.9142680653308997,386796,35192300,63014,8591
s0042,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9979944362000697,nan,0.9356286944134108,26074170,787733,17066,87731
s0042,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8878567181926278,0.5500786008862935,0.8876904328450008,35841,26921805,8747,307
