case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.9997799333991018,nan,0.9889147794453793,222460945,4457825,63882,34052
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.971447235682273,nan,0.971432018439414,117481,226892317,4526,2380
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.9817174045817697,nan,0.9816602003586856,695186,226295625,7770,18123
UKCHLL003,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9911348739866529,nan,0.9909888931380774,3645122,223306375,21792,43415
UKCHLL003,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,0,background,0.9992895614340627,nan,0.9639958064860461,222379088,4321418,145739,170459
UKCHLL003,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,1,pancreas,0.8485637016034335,nan,0.8484821374806485,103700,226875991,18307,18706
UKCHLL003,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,2,kidney,0.9385225004934319,nan,0.9383245525927084,684731,226242267,18225,71481
UKCHLL003,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,3,liver,0.9737272090384984,nan,0.9733006025027102,3532416,223293667,134498,56123
UKCHLL003,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,0,background,0.999293792038938,nan,0.9643289998813419,222365125,4337285,129872,184422
UKCHLL003,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,1,pancreas,0.8457941032001882,nan,0.845711785870227,102454,226876891,17407,19952
UKCHLL003,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,2,kidney,0.9397606430939061,nan,0.9395652070368832,690499,226237682,22810,65713
UKCHLL003,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,3,liver,0.9739384335136805,nan,0.9735140061661607,3543712,223283340,144825,44827
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9997171802546598,nan,0.9761943471578188,238239867,2797817,83459,51337
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.8886895615752405,nan,0.8886008483469953,170907,240958760,14408,28405
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9636767158064037,nan,0.9636193157499198,366692,240778145,14358,13285
UKCHLL005,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9856642941770765,nan,0.9855267254999105,2259525,238847229,23264,42462
UKCHLL005,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.9999263382894608,nan,0.9937737680166409,238301646,2835724,21680,13430
UKCHLL005,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.9856550433253191,nan,0.9856439764350363,183252,240983894,2063,3271
UKCHLL005,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.9886376255681514,nan,0.9886195665865738,378362,240785421,2688,6009
UKCHLL005,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.9952892117587402,nan,0.9952441592637186,2273887,238877068,8902,12623
UKCHLL005,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,0,background,0.9992374138243859,nan,0.9347458524108506,238172280,2636669,151046,212485
UKCHLL005,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,1,pancreas,0.6195746535165811,nan,0.6193587362139952,90996,240969739,94319,17426
UKCHLL005,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,2,kidney,0.8910048976998196,nan,0.8908175061913406,371578,240709993,9472,81437
UKCHLL005,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,3,liver,0.963833538068962,nan,0.9634923097387945,2172995,238836408,109794,53283
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.999673231330481,nan,0.9725345919290962,238225270,2791470,65934,89806
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.8810035377816943,nan,0.8809083792635864,169961,240956606,29351,16562
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.9564203739657852,nan,0.9563512081883105,365519,240773651,14458,18852
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9828643235464685,nan,0.9826997499552165,2254935,238838918,47052,31575
UKCHLL005,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,0,background,0.9991838376060447,nan,0.9305572116764781,238143462,2639973,147742,241303
UKCHLL005,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,1,pancreas,0.5779146925591583,nan,0.577668751611599,88922,240953668,110390,19500
UKCHLL005,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,2,kidney,0.885775613691368,nan,0.8855795329121445,368922,240708410,11055,84093
UKCHLL005,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,3,liver,0.9631234037760599,nan,0.9627740231844807,2180639,238824854,121348,45639
UKCHLL005,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,0,background,0.9992219527507668,nan,0.9335201805273395,238164473,2637112,150603,220292
UKCHLL005,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,1,pancreas,0.6162369255284884,nan,0.6160185916089217,90878,240968413,95645,17544
UKCHLL005,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,2,kidney,0.8900769776423298,nan,0.8898870981970294,372669,240707763,11702,80346
UKCHLL005,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,3,liver,0.9627285837491147,nan,0.9623766447966758,2172295,238831987,114215,53983
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9996260983717615,nan,0.9635841723419615,254427662,2545269,124009,66324
