case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.8952279689121795,0.8040613889966267,0.8951878257840666,88406,257054165,5291,15402
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.938478428737923,0.8231160095855907,0.9383617802938615,458183,256645009,2568,57504
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.968785441670148,0.7520734986799572,0.9685268085272055,2048817,254982420,8328,123699
UKCHLL007,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,0,background,0.9987379012052743,nan,0.8855514492502573,254006568,2514723,545103,96870
UKCHLL007,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,1,pancreas,0.29811530764044225,0.18533185135948965,0.29786019605158826,27855,257004245,65842,65322
UKCHLL007,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,2,kidney,0.8760721866538984,0.6182845247393846,0.8758231581698042,458336,256575257,2415,127256
UKCHLL007,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,3,liver,0.9140489774913354,0.5266769910332164,0.9133048566522394,2028367,254753429,28778,352690
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.9996640741263131,nan,0.9683637595839993,254347149,2645174,146837,24104
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.9005305702381071,0.8782849628614989,0.9004918980764066,90126,257053228,6228,13682
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.960693032829557,0.945487813070074,0.9606166287904487,479797,256644205,3372,35890
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9737771249176789,0.7363186670547254,0.9735580809308929,2075251,254976244,14504,97265
UKCHLL007,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,0,background,0.9987388886185157,nan,0.8867904847134781,253978013,2543853,515973,125425
UKCHLL007,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,1,pancreas,0.29483303522906545,0.19313256293875347,0.29457315618164875,27940,257001673,68414,65237
UKCHLL007,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,2,kidney,0.8987846674794459,0.6918673102518226,0.8985758455704234,480293,256574796,2876,105299
UKCHLL007,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,3,liver,0.9105339253808927,0.48364192923874944,0.9097527767575089,2035413,254727865,54342,345644
UKCHLL007,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,0,background,0.9987602667130585,nan,0.8910406514340414,253922159,2610732,449094,181279
UKCHLL007,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,1,pancreas,0.3006523339340559,0.18460944314447117,0.30038516468671755,29612,256995891,74196,63565
UKCHLL007,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,2,kidney,0.9084310152104962,0.7309927122476803,0.9082353198263114,500218,256562203,15469,85374
UKCHLL007,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,3,liver,0.9138577552177158,0.5316718820079387,0.9130899134701415,2080659,254690350,91857,300398
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.999741710936488,nan,0.9762604347834315,270889996,2910512,104338,35634
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.6941211374321056,0.5780640180944778,0.6940747734112802,30415,273883259,3361,23445
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9717300801599549,0.9708741995109669,0.9716790996842434,479198,273433400,10919,16963
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9825490957589825,0.8873376812993695,0.9823920452427319,2400899,271454297,21354,63930
UKCHLL008,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.9997153970729737,nan,0.9738882148859292,270877583,2908668,116751,37478
UKCHLL008,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.7031993964802928,0.6017276415008683,0.7031567733930325,28430,273888051,5346,18653
UKCHLL008,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.9655696518514642,0.9600583708687273,0.9655071163096376,479639,273426635,10478,23728
UKCHLL008,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.9803884733018026,0.8718059457961894,0.9802116157567838,2400590,271443848,21663,74379
UKCHLL008,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,0,background,0.9987919079477626,nan,0.8961546405940508,270426693,2859596,567641,86550
UKCHLL008,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,1,pancreas,0.19620840856332217,0.15176863311414684,0.1960965222097548,7607,273870547,26169,36157
UKCHLL008,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,2,kidney,0.7072731252801451,0.5060138514217237,0.7066063988567963,474953,273072379,15164,377984
UKCHLL008,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,3,liver,0.9598757386999527,0.7081040692585494,0.9595098870928419,2377031,271364722,45222,153505
