case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
UKCHLL054,annotation_2_vs_clip_unet,0.9023572650025234,0.9975508493394708,0.9999823199989046,0.8237510873814641
UKCHLL054,annotation_3_vs_clip_unet,0.9027280934695728,0.9975622589264683,0.9999675150274168,0.8243594729933394
UKCHLL055,annotation_1_vs_annotation_2,0.9714574526517175,0.9992593591143976,0.9994798456088563,0.9450698289509134
UKCHLL055,annotation_1_vs_annotation_3,0.967283512234494,0.9991466553874035,0.9992916195702988,0.9372902061857169
UKCHLL055,annotation_1_vs_clip_unet,0.9261198666781841,0.9980397758642173,0.9985194263912907,0.8637701438471028
UKCHLL055,annotation_2_vs_annotation_3,0.9847944605422977,0.9996000147459418,0.9996728522782884,0.9703615759305936
UKCHLL055,annotation_2_vs_clip_unet,0.935008047134409,0.9982611707631978,0.9985580453665508,0.8791797351772364
UKCHLL055,annotation_3_vs_clip_unet,0.9333394985652037,0.9982075869295113,0.9982008164564219,0.876269558112784
UKCHLL057,annotation_1_vs_annotation_2,0.9694709957761407,0.9992375538266939,1.0,0.9413478343204162
UKCHLL057,annotation_1_vs_annotation_3,0.9682776667198687,0.9992114616732292,1.0,0.9391246666071873
UKCHLL057,annotation_1_vs_clip_unet,0.9165669658140169,0.9978285869354098,1.0,0.8475167688700097
UKCHLL057,annotation_2_vs_annotation_3,0.9878681838663197,0.999695209446799,1.0,0.9762744119983208
UKCHLL057,annotation_2_vs_clip_unet,0.9190162090128103,0.997870844573223,1.0,0.8516706824312427
UKCHLL057,annotation_3_vs_clip_unet,0.9190941278279281,0.9978823450398563,1.0,0.8518016109078034
UKCHLL062,annotation_1_vs_annotation_2,0.9869073794175466,0.9997515820676713,0.999975453319221,0.974350371925483
UKCHLL062,annotation_1_vs_annotation_3,0.9892149061969645,0.9997953097331512,0.999975564154558,0.9788232550295292
UKCHLL062,annotation_1_vs_clip_unet,0.8444735214054119,0.9966696811709069,0.999943054171607,0.7328196921510809
UKCHLL062,annotation_2_vs_annotation_3,0.9950054705077881,0.9999054219426733,1.0,0.9901368436368092
UKCHLL062,annotation_2_vs_clip_unet,0.8443645839474047,0.996673954806727,0.999939676162947,0.732649739631367
UKCHLL062,annotation_3_vs_clip_unet,0.8443644558473354,0.9966731617609048,0.999939780667874,0.7326507706932964
UKCHLL064,annotation_1_vs_annotation_2,0.9719882933373727,0.99846517404861,0.9999941890656242,0.9467207988701857
UKCHLL064,annotation_1_vs_annotation_3,0.9649818687232499,0.9980677260449652,0.999960760139975,0.9338456179437944
UKCHLL064,annotation_1_vs_clip_unet,0.9162950040983819,0.9952434985595342,0.9999850456637589,0.8488628084953476
UKCHLL064,annotation_2_vs_annotation_3,0.9848041609040012,0.999145682746842,1.0,0.970757254091228
UKCHLL064,annotation_2_vs_clip_unet,0.92023701552901,0.9953846423583623,0.9999970759578403,0.855525388639477
UKCHLL064,annotation_3_vs_clip_unet,0.9176756122222841,0.9952047252090725,0.9999697240207787,0.8512558014075227
UKCHLL066,annotation_1_vs_annotation_2,0.9837377529891456,0.9995667873284756,1.0,0.9683435025355156
UKCHLL066,annotation_1_vs_annotation_3,0.9920382141882529,0.9997888180191568,0.9999991000049719,0.9843747689238578
UKCHLL066,annotation_1_vs_clip_unet,0.8417504061319686,0.9955466152433567,0.9999419158752424,0.7293608449702478
UKCHLL066,annotation_2_vs_annotation_3,0.9838041243149611,0.9995675528195657,0.9999991008231793,0.9684709950331593
UKCHLL066,annotation_2_vs_clip_unet,0.8406247830029302,0.9954868431474054,0.999944915490939,0.7277085384896832
UKCHLL066,annotation_3_vs_clip_unet,0.8414178226414626,0.9955274652079197,0.9999367111529701,0.7288726965989144
UKCHLL067,annotation_1_vs_annotation_2,0.9700079215871038,0.9988739541491622,0.9999956119738457,0.9426785602187405
UKCHLL067,annotation_1_vs_annotation_3,0.9658132967725789,0.9987081083861536,0.9999947562893963,0.9349286570727466
UKCHLL067,annotation_1_vs_clip_unet,0.8822443222384303,0.9952087786212658,0.9999918754172489,0.7925863332134773
UKCHLL067,annotation_2_vs_annotation_3,0.9861487392228305,0.9994664462107532,0.9999975389659106,0.9731230358025963
UKCHLL067,annotation_2_vs_clip_unet,0.886919127843987,0.9953167417514249,0.9999939357546308,0.8000595716820642
UKCHLL067,annotation_3_vs_clip_unet,0.8860271370689705,0.9952521174208923,0.9999871648500598,0.7986623749041363
UKCHLL069,annotation_1_vs_annotation_2,0.9926305465856451,0.999818587398912,1.0,0.9855389846881033
UKCHLL069,annotation_1_vs_annotation_3,0.9957779114624914,0.9998961299298758,1.0,0.9916894501982949
UKCHLL069,annotation_1_vs_clip_unet,0.8891067056104256,0.9970783938365768,0.9999435750904183,0.8025562512456419
UKCHLL069,annotation_2_vs_annotation_3,0.9958384270432326,0.9998974168157003,1.0,0.9918081046057085
UKCHLL069,annotation_2_vs_clip_unet,0.8866224851547961,0.9970074542554985,0.9999208236689512,0.7985794299623087
UKCHLL069,annotation_3_vs_clip_unet,0.8882260654556886,0.9970514841347813,0.9999212155027593,0.8011467119145264
UKCHLL070,annotation_1_vs_annotation_2,0.9751064045155605,0.999234481398108,1.0,0.952040477555571
UKCHLL070,annotation_1_vs_annotation_3,0.9729536544341575,0.9991699228145806,0.9999980370048536,0.9480009205512477
UKCHLL070,annotation_1_vs_clip_unet,0.908324459584616,0.9970212710902021,0.99945594238337,0.8341042195620731
UKCHLL070,annotation_2_vs_annotation_3,0.9801666298657807,0.9993832639872734,0.9999971659272744,0.9616074347850755
UKCHLL070,annotation_2_vs_clip_unet,0.9114083744560081,0.9970856887366384,0.9994843977449818,0.8392595621363963
UKCHLL070,annotation_3_vs_clip_unet,0.9107530213610463,0.997069532648096,0.9994706402953828,0.8381660923533218
UKCHLL071,annotation_1_vs_annotation_2,0.9646334489286645,0.9991536655584531,0.9996362079304849,0.9323364803908262
UKCHLL071,annotation_1_vs_annotation_3,0.9695911223478394,0.9992788143985709,0.9997985048306867,0.9415418965064355
UKCHLL071,annotation_1_vs_clip_unet,0.9335784462127732,0.9983799336469514,0.9994475726502341,0.8766036905675361
UKCHLL071,annotation_2_vs_annotation_3,0.977365539270291,0.9994525257790408,0.9995516770694051,0.9561656684983028
UKCHLL071,annotation_2_vs_clip_unet,0.9381304519877164,0.9984618281173354,0.9993811603446481,0.884591426587816
UKCHLL071,annotation_3_vs_clip_unet,0.9445269715806348,0.9986327145788698,0.9997008974180256,0.8958996796603783
UKCHLL073,annotation_1_vs_annotation_2,0.9766807563265869,0.9995650831823876,0.9989336952789772,0.9547763679534149
UKCHLL073,annotation_1_vs_annotation_3,0.9739129458516111,0.9995168642517288,0.9986513904265857,0.9495402032912673
UKCHLL073,annotation_1_vs_clip_unet,0.9369195534632873,0.9987931628656026,0.9984663007862954,0.8822159163101944
UKCHLL073,annotation_2_vs_annotation_3,0.9793475960000493,0.9996149511533594,0.9986574944488701,0.9598431241382194
UKCHLL073,annotation_2_vs_clip_unet,0.9393358863682034,0.9988318677842294,0.9977446147538934,0.8864668884520308
UKCHLL073,annotation_3_vs_clip_unet,0.9423794541047995,0.9988979823152784,0.9984266885346683,0.8918593262373236
UKCHLL075,annotation_1_vs_annotation_2,0.9754028263444031,0.9992687092270962,0.9998098847805286,0.9525775775775776
UKCHLL075,annotation_1_vs_annotation_3,0.963883052841919,0.9989184372184813,0.9997495340577048,0.9311377273694338
UKCHLL075,annotation_1_vs_clip_unet,0.8459278364946986,0.994906599207442,0.9992994783400263,0.7362165276852511
UKCHLL075,annotation_2_vs_annotation_3,0.9718521010940132,0.9991554844287015,0.999763888313707,0.9459211691133655
UKCHLL075,annotation_2_vs_clip_unet,0.8467637872119217,0.9949255728906439,0.9994893497642828,0.7374660309847142
UKCHLL075,annotation_3_vs_clip_unet,0.8433016240197773,0.9947773578555085,0.9991875384491031,0.732343239137547
UKCHLL076,annotation_1_vs_annotation_2,0.9799385408801808,0.9995235478112457,0.999543444653496,0.9610677439557391
UKCHLL076,annotation_1_vs_annotation_3,0.9865601013838728,0.9996798142988261,0.9999986879023569,0.9737519086767888
UKCHLL076,annotation_1_vs_clip_unet,0.9435078517440446,0.99862757613778,0.9995256777754787,0.8941292435729029
UKCHLL076,annotation_2_vs_annotation_3,0.9808103944523041,0.9995427729522052,0.9995344066944741,0.9627293163586292
UKCHLL076,annotation_2_vs_clip_unet,0.942814045467513,0.9986105324903638,0.9998422584145429,0.8929005715546292
UKCHLL076,annotation_3_vs_clip_unet,0.9420710943671234,0.998588204262332,0.9995249567917747,0.8915860992322442
UKCHLL077,annotation_1_vs_annotation_2,0.9663703741455292,0.9992393655256019,1.0,0.9355073203219118
UKCHLL077,annotation_1_vs_annotation_3,0.955782294427463,0.9990033220952437,1.0,0.9160518786079546
UKCHLL077,annotation_1_vs_clip_unet,0.9402879758809933,0.9986361202720548,0.9998714402092918,0.8882896533467091
UKCHLL077,annotation_2_vs_annotation_3,0.9650389067992401,0.9992056498958115,1.0,0.933039708851466
UKCHLL077,annotation_2_vs_clip_unet,0.9395611754226358,0.998608600867366,0.9998685900152351,0.8870107498957058
UKCHLL077,annotation_3_vs_clip_unet,0.9327710490799839,0.9984575056843668,0.9998835563544008,0.8751059272061008
UKCHLL078,annotation_1_vs_annotation_2,0.9695683051113215,0.9990899804634252,1.0,0.9416719727050984
UKCHLL078,annotation_1_vs_annotation_3,0.9587098236968765,0.9987747666619986,1.0,0.9216680066457288
UKCHLL078,annotation_1_vs_clip_unet,0.8818058751772813,0.9961784637351333,1.0,0.7911716627199713
UKCHLL078,annotation_2_vs_annotation_3,0.9636008892902309,0.9989056727618402,1.0,0.9306325686578326
UKCHLL078,annotation_2_vs_clip_unet,0.8829317598040569,0.996169274349899,0.9999762461226573,0.7929802119537604
UKCHLL078,annotation_3_vs_clip_unet,0.8734494865768131,0.9958879726663671,0.9999759748368386,0.7780520110678281
UKCHLL080,annotation_1_vs_annotation_2,0.9586402473963125,0.9990558560334104,0.9949805556444564,0.9212636264854553
UKCHLL080,annotation_1_vs_annotation_3,0.9574383954263899,0.9990343445506176,0.9963308283972755,0.9190825828314113
UKCHLL080,annotation_1_vs_clip_unet,0.8937273037200403,0.9975813327554884,0.993028617393862,0.8094996867880976
